taxon,common_name,genus_name,species_name,scientific_name,assessment,population_trend,assessment_scope
Mammal,Ocelot,Leopardus,pardalis,Leopardus pardalis,LC,Decreasing,Global
Mammal,Okapi,Okapia,johnstoni,Okapia johnstoni,EN,Decreasing,Global
Mammal,"Orangutan, Bornean",Pongo,pygmaeus,Pongo pygmaeus,CR,Decreasing,Global
Mammal,"Orangutan, Sumatran",Pongo,abelii,Pongo abelii,CR,Decreasing,Global
Bird,"Oropendola, Crested",Psarocolius,decumanus,Psarocolius decumanus,LC,Decreasing,Global
Mammal,"Oryx, Scimitar-Horned",Oryx,dammah,Oryx dammah,EN,Increasing,Global
Mammal,"Otter, Asian Small-Clawed",Aonyx,cinereus,Aonyx cinereus,VU,Decreasing,Global
Mammal,"Otter, North American River",Lontra,canadensis,Lontra canadensis,LC,Stable,Global
Bird,"Owl, Burrowing",Athene,cunicularia,Athene cunicularia,LC,Decreasing,Global
Bird,"Owl, Snowy",Bubo,scandiacus,Bubo scandiacus,VU,Decreasing,Global
Bird,"Owl, Spectacled",Pulsatrix,perspicillata,Pulsatrix perspicillata,LC,Decreasing,Global
Mammal,"Panda, Red (fulgens)",Ailurus,fulgens,Ailurus fulgens,EN,Decreasing,Global
Mammal,"Panda, Red (refulgens)",Ailurus,fulgens,Ailurus fulgens,EN,Decreasing,Global
Bird,"Partridge, Crested Wood",Rollulus,rouloul,Rollulus rouloul,VU,Decreasing,Global
Mammal,"Peccary, Chacoan",Catagonus,wagneri,Catagonus wagneri,EN,Decreasing,Global
Bird,"Pelican, Pink-Backed",Pelecanus,rufescens,Pelecanus rufescens,LC,Stable,Global
Bird,"Penguin, African",Spheniscus,demersus,Spheniscus demersus,CR,Decreasing,Global
Bird,"Penguin, Gentoo (ellsworthi)",Pygoscelis,papua,Pygoscelis papua,LC,Stable,Global
Bird,"Penguin, Humboldt",Spheniscus,humboldti,Spheniscus humboldti,VU,Decreasing,Global
Bird,"Penguin, King",Aptenodytes,patagonicus,Aptenodytes patagonicus,LC,Increasing,Global
Bird,"Penguin, Magellanic",Spheniscus,magellanicus,Spheniscus magellanicus,LC,Decreasing,Global
Bird,"Penguin, Southern Rockhopper",Eudyptes,chrysocome,Eudyptes chrysocome,VU,Decreasing,Global
Bird,"Pheasant, Palawan Peacock",Polyplectron,napoleonis,Polyplectron napoleonis,VU,Decreasing,Global
Bird,"Pheasant, Vietnam",Lophura,edwardsi,Lophura edwardsi,CR,Unknown,Global
Bird,"Pigeon, Green-Naped Pheasant",Otidiphaps,nobilis,Otidiphaps nobilis,LC,Decreasing,Global
Bird,"Pigeon, Nicobar",Caloenas,nicobarica,Caloenas nicobarica,NT,Decreasing,Global
Bird,"Pigeon, Victoria Crowned",Goura,victoria,Goura victoria,NT,Decreasing,Global
Bird,"Pochard, Baer's",Aythya,baeri,Aythya baeri,CR,Decreasing,Global
Mammal,"Porcupine, Cape",Hystrix,africaeaustralis,Hystrix africaeaustralis,LC,Stable,Global
Mammal,"Porcupine, North American",Erethizon,dorsatum,Erethizon dorsatum,LC,Stable,Global
Mammal,"Porcupine, Prehensile-Tailed",Coendou,prehensilis,Coendou prehensilis,LC,Stable,Global
Mammal,"Pudu, Chilean (Southern)",Pudu,puda,Pudu puda,NT,Decreasing,Global
Bird,"Puffin, Tufted",Fratercula,cirrhata,Fratercula cirrhata,LC,Stable,Global
Reptile,"Rattlesnake, Aruba Island",Crotalus,durissus,Crotalus durissus,LC,Unknown,Global
Reptile,"Rattlesnake, Eastern Massasauga",Sistrurus,catenatus,Sistrurus catenatus,LC,Unknown,Global
Reptile,"Rattlesnake, Santa Catalina Island",Crotalus,catalinensis,Crotalus catalinensis,CR,Decreasing,Global
Fish,"Ray, Spotted Eagle",Aetobatus,narinari,Aetobatus narinari,EN,Decreasing,Global
Mammal,"Rhinoceros, Eastern Black",Diceros,bicornis,Diceros bicornis,CR,Increasing,Global
Mammal,"Rhinoceros, Greater One-Horned",Rhinoceros,unicornis,Rhinoceros unicornis,VU,Increasing,Global
